Date,Description,Amount,Category,amount_num
01/02/2025,Cotton On Karrinyup,-39.99,Shopping,-39.99
01/02/2025,Rent - Realmark Property,-1050.0,Bills & Utilities,-1050.0
01/03/2025,Rent - Realmark Property,-1050.0,Bills & Utilities,-1050.0
02/02/2025,Coles Supermarket Karrinyup,-69.8,Food & Groceries,-69.8
02/03/2025,Coles Supermarket Karrinyup,-74.5,Food & Groceries,-74.5
03/01/2025,Casual Work - Hungry Jacks,580.0,Income,580.0
03/01/2025,Rent - Realmark Property,-1050.0,Bills & Utilities,-1050.0
03/02/2025,Boost Juice Hay St,-8.5,Coffee & Snacks,-8.5
03/03/2025,Boost Juice Hay St,-8.5,Coffee & Snacks,-8.5
04/01/2025,Coles Supermarket Karrinyup,-72.3,Food & Groceries,-72.3
04/02/2025,Transperth Smartrider Topup,-25.0,Transport,-25.0
04/03/2025,Kmart Carousel,-44.99,Shopping,-44.99
04/03/2025,Transperth Smartrider Topup,-25.0,Transport,-25.0
05/01/2025,Uber Eats - Hungry Jacks,-17.5,Eating Out,-17.5
05/02/2025,Spotify Premium,-11.99,Subscriptions,-11.99
05/02/2025,Casual Work - Hungry Jacks,580.0,Income,580.0
05/03/2025,Spotify Premium,-11.99,Subscriptions,-11.99
05/03/2025,Casual Work - Hungry Jacks,580.0,Income,580.0
06/01/2025,Boost Juice Hay St,-8.5,Coffee & Snacks,-8.5
06/02/2025,McDonald's Northbridge,-12.6,Eating Out,-12.6
06/03/2025,7-Eleven Beaufort St,-6.1,Coffee & Snacks,-6.1
07/01/2025,Transperth Smartrider Topup,-25.0,Transport,-25.0
07/02/2025,Uber - Perth CBD to Home,-22.0,Transport,-22.0
07/02/2025,Amplifier Bar Perth,-71.0,Social,-71.0
07/03/2025,The Bird Northbridge,-65.0,Social,-65.0
07/03/2025,Uber - Northbridge to Home,-20.1,Transport,-20.1
08/01/2025,McDonald's Northbridge,-13.2,Eating Out,-13.2
08/02/2025,Lucky Chan's Northbridge,-55.0,Social,-55.0
08/02/2025,7-Eleven Beaufort St,-6.8,Coffee & Snacks,-6.8
08/02/2025,Uber Eats - Nando's,-28.5,Eating Out,-28.5
08/03/2025,Woolworths Metro City,-52.4,Food & Groceries,-52.4
08/03/2025,Rosie O'Grady's Perth,-69.0,Social,-69.0
09/01/2025,Optus Phone Bill,-55.0,Bills & Utilities,-55.0
09/02/2025,Optus Phone Bill,-55.0,Bills & Utilities,-55.0
09/02/2025,Uber - City to Home,-14.8,Transport,-14.8
09/03/2025,Optus Phone Bill,-55.0,Bills & Utilities,-55.0
10/01/2025,Casual Work - Hungry Jacks,580.0,Income,580.0
10/01/2025,Spotify Premium,-11.99,Subscriptions,-11.99
10/02/2025,Woolworths Metro City,-53.4,Food & Groceries,-53.4
10/03/2025,Uber Eats - McDonald's,-18.9,Eating Out,-18.9
10/03/2025,Hungry Jacks Murray St,-12.3,Eating Out,-12.3
11/01/2025,Uber - Northbridge to Home,-18.5,Transport,-18.5
11/01/2025,The Grosvenor Hotel,-54.0,Social,-54.0
11/01/2025,7-Eleven Beaufort St,-6.3,Coffee & Snacks,-6.3
11/02/2025,Uber Eats - Grill'd,-31.5,Eating Out,-31.5
11/03/2025,Netflix Monthly,-17.99,Subscriptions,-17.99
12/02/2025,Netflix Monthly,-17.99,Subscriptions,-17.99
12/02/2025,Casual Work - Hungry Jacks,580.0,Income,580.0
12/02/2025,Uber Eats - Grill'd,-28.5,Eating Out,-28.5
12/03/2025,Uber Eats - Nando's,-29.5,Eating Out,-29.5
12/03/2025,Casual Work - Hungry Jacks,580.0,Income,580.0
13/01/2025,Woolworths Metro City,-48.2,Food & Groceries,-48.2
13/01/2025,Uber - Northbridge to Home,-17.5,Transport,-17.5
13/02/2025,Boost Juice Garden City,-8.5,Coffee & Snacks,-8.5
13/03/2025,Boost Juice Garden City,-8.5,Coffee & Snacks,-8.5
14/01/2025,Hungry Jacks Murray St,-11.4,Eating Out,-11.4
14/02/2025,The Rechabite Northbridge,-62.0,Social,-62.0
14/02/2025,Uber - Northbridge to Home,-20.5,Transport,-20.5
14/03/2025,Uber - Northbridge to Home,-19.5,Transport,-19.5
14/03/2025,Lucky Chan's Northbridge,-59.0,Social,-59.0
15/01/2025,Uber Eats - McDonald's,-19.9,Eating Out,-19.9
15/02/2025,Coles Supermarket Karrinyup,-58.2,Food & Groceries,-58.2
15/02/2025,The Grosvenor Hotel,-59.0,Social,-59.0
15/03/2025,Coles Supermarket Karrinyup,-66.7,Food & Groceries,-66.7
16/01/2025,Synergy Power Bill,-95.0,Bills & Utilities,-95.0
16/01/2025,Uber Eats - Nando's,-26.5,Eating Out,-26.5
16/02/2025,Curtin University Parking,-12.0,Transport,-12.0
16/03/2025,Curtin University Parking,-12.0,Transport,-12.0
16/03/2025,Uber Eats - Pizza Hut,-21.5,Eating Out,-21.5
17/01/2025,Casual Work - Hungry Jacks,580.0,Income,580.0
17/01/2025,Boost Juice Garden City,-8.5,Coffee & Snacks,-8.5
17/02/2025,7-Eleven Beaufort St,-5.5,Coffee & Snacks,-5.5
17/03/2025,7-Eleven Beaufort St,-5.7,Coffee & Snacks,-5.7
18/01/2025,The Bird Northbridge,-55.0,Social,-55.0
18/01/2025,Netflix Monthly,-17.99,Subscriptions,-17.99
18/01/2025,Uber Eats - Domino's,-24.5,Eating Out,-24.5
18/02/2025,Hungry Jacks Murray St,-11.8,Eating Out,-11.8
18/03/2025,Uber Eats - Domino's,-21.9,Eating Out,-21.9
19/01/2025,Coles Supermarket Karrinyup,-61.4,Food & Groceries,-61.4
19/02/2025,Synergy Power Bill,-95.0,Bills & Utilities,-95.0
19/02/2025,Casual Work - Hungry Jacks,580.0,Income,580.0
19/03/2025,Uber Eats - Hungry Jacks,-16.9,Eating Out,-16.9
19/03/2025,Casual Work - Hungry Jacks,580.0,Income,580.0
19/03/2025,Synergy Power Bill,-95.0,Bills & Utilities,-95.0
20/01/2025,Transperth Smartrider Topup,-25.0,Transport,-25.0
20/02/2025,Cotton On Karrinyup,-49.99,Shopping,-49.99
20/03/2025,Chemist Warehouse Morley,-14.5,Other,-14.5
21/01/2025,7-Eleven Beaufort St,-5.9,Coffee & Snacks,-5.9
21/02/2025,Uber - Perth CBD to Home,-23.0,Transport,-23.0
21/02/2025,Rosie O'Grady's Perth,-74.5,Social,-74.5
21/03/2025,Uber - Perth CBD to Home,-24.0,Transport,-24.0
21/03/2025,Amplifier Bar Perth,-78.0,Social,-78.0
22/01/2025,Casual Work - Hungry Jacks,580.0,Income,580.0
22/01/2025,JB Hi-Fi Joondalup,-79.0,Shopping,-79.0
22/02/2025,Uber - Northbridge to Home,-19.0,Transport,-19.0
22/02/2025,Woolworths Metro City,-47.3,Food & Groceries,-47.3
22/03/2025,Woolworths Metro City,-49.6,Food & Groceries,-49.6
22/03/2025,Uber - Perth CBD to Home,-21.0,Transport,-21.0
22/03/2025,The Grosvenor Hotel,-62.0,Social,-62.0
23/02/2025,Boost Juice Hay St,-8.5,Coffee & Snacks,-8.5
23/02/2025,Uber Eats - Domino's,-23.5,Eating Out,-23.5
23/03/2025,Uber - City to Home,-15.9,Transport,-15.9
23/03/2025,Boost Juice Hay St,-8.5,Coffee & Snacks,-8.5
24/01/2025,The Rechabite Northbridge,-67.5,Social,-67.5
24/01/2025,Uber - Northbridge to Home,-19.8,Transport,-19.8
24/02/2025,Uber Eats - Pizza Hut,-22.5,Eating Out,-22.5
24/03/2025,Kmart Carousel,-32.99,Shopping,-32.99
25/01/2025,Amplifier Bar Perth,-63.0,Social,-63.0
25/01/2025,Woolworths Metro City,-44.6,Food & Groceries,-44.6
25/02/2025,McDonald's Northbridge,-10.4,Eating Out,-10.4
25/03/2025,McDonald's Northbridge,-11.6,Eating Out,-11.6
26/01/2025,Boost Juice Hay St,-8.5,Coffee & Snacks,-8.5
26/01/2025,Uber - Leederville to Home,-16.5,Transport,-16.5
26/01/2025,Disney+ Monthly,-13.99,Subscriptions,-13.99
26/02/2025,Disney+ Monthly,-13.99,Subscriptions,-13.99
26/02/2025,Casual Work - Hungry Jacks,580.0,Income,580.0
26/03/2025,Disney+ Monthly,-13.99,Subscriptions,-13.99
26/03/2025,Casual Work - Hungry Jacks,580.0,Income,580.0
27/01/2025,Hungry Jacks Murray St,-10.9,Eating Out,-10.9
27/02/2025,The Bird Northbridge,-68.0,Social,-68.0
27/02/2025,Uber - Northbridge to Home,-21.2,Transport,-21.2
27/03/2025,Uber Eats - Grill'd,-26.5,Eating Out,-26.5
28/01/2025,Cotton On Karrinyup,-54.99,Shopping,-54.99
28/01/2025,Chemist Warehouse Morley,-16.9,Other,-16.9
28/02/2025,7-Eleven Beaufort St,-6.1,Coffee & Snacks,-6.1
28/03/2025,The Rechabite Northbridge,-71.0,Social,-71.0
28/03/2025,Uber - Northbridge to Home,-22.3,Transport,-22.3
29/01/2025,Casual Work - Hungry Jacks,580.0,Income,580.0
29/03/2025,Coles Supermarket Karrinyup,-63.1,Food & Groceries,-63.1
30/01/2025,7-Eleven Beaufort St,-6.5,Coffee & Snacks,-6.5
30/03/2025,7-Eleven Beaufort St,-6.4,Coffee & Snacks,-6.4
31/01/2025,Uber - Northbridge to Home,-17.4,Transport,-17.4
31/01/2025,Lucky Chan's Northbridge,-58.0,Social,-58.0
31/03/2025,Hungry Jacks Murray St,-13.1,Eating Out,-13.1
