Date,Description,Amount,Category,amount_num
01/06/2025,Rent - Realmark Property,-1050.0,Bills & Utilities,-1050.0
02/05/2025,Rent - Realmark Property,-1050.0,Bills & Utilities,-1050.0
02/05/2025,Casual Work - Hungry Jacks,580.0,Income,580.0
02/06/2025,Boost Juice Hay St,-7.5,Coffee & Snacks,-7.5
03/05/2025,Uber Eats - Pizza Hut,-19.9,Eating Out,-19.9
03/05/2025,Uber - Northbridge to Home,-14.5,Transport,-14.5
03/05/2025,The Bird Northbridge,-39.0,Social,-39.0
03/05/2025,Coles Supermarket Karrinyup,-71.6,Food & Groceries,-71.6
03/06/2025,Transperth Smartrider Topup,-25.0,Transport,-25.0
04/04/2025,Rent - Realmark Property,-1050.0,Bills & Utilities,-1050.0
04/04/2025,Casual Work - Hungry Jacks,580.0,Income,580.0
04/05/2025,Boost Juice Hay St,-7.5,Coffee & Snacks,-7.5
04/06/2025,Casual Work - Hungry Jacks,580.0,Income,580.0
05/04/2025,Coles Supermarket Karrinyup,-68.4,Food & Groceries,-68.4
05/05/2025,Transperth Smartrider Topup,-25.0,Transport,-25.0
05/06/2025,Spotify Premium,-11.99,Subscriptions,-11.99
06/04/2025,Boost Juice Hay St,-8.5,Coffee & Snacks,-8.5
06/05/2025,Spotify Premium,-11.99,Subscriptions,-11.99
06/06/2025,Uber Eats - Domino's,-18.9,Eating Out,-18.9
06/06/2025,7-Eleven Beaufort St,-5.0,Coffee & Snacks,-5.0
07/04/2025,Transperth Smartrider Topup,-25.0,Transport,-25.0
07/05/2025,Uber Eats - Nando's,-22.5,Eating Out,-22.5
07/06/2025,Uber - Northbridge to Home,-15.5,Transport,-15.5
07/06/2025,The Rechabite Northbridge,-42.0,Social,-42.0
07/06/2025,Chemist Warehouse Morley,-13.5,Other,-13.5
07/06/2025,Woolworths Metro City,-55.4,Food & Groceries,-55.4
07/06/2025,Kmart Carousel,-32.99,Shopping,-32.99
08/04/2025,Optus Phone Bill,-55.0,Bills & Utilities,-55.0
08/05/2025,7-Eleven Beaufort St,-5.5,Coffee & Snacks,-5.5
08/06/2025,Optus Phone Bill,-55.0,Bills & Utilities,-55.0
09/04/2025,McDonald's Northbridge,-11.2,Eating Out,-11.2
09/05/2025,Optus Phone Bill,-55.0,Bills & Utilities,-55.0
09/05/2025,Casual Work - Hungry Jacks,580.0,Income,580.0
09/06/2025,McDonald's Northbridge,-10.6,Eating Out,-10.6
10/05/2025,Lucky Chan's Northbridge,-40.0,Social,-40.0
